City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,mahdia,35.5047,11.0622,15.97,86,100,2.8,TN,1703026979
334,swakopmund,-22.6833,14.5333,16.47,83,3,0.89,NA,1703026979
335,sarangani,5.4033,125.4636,27.81,78,46,5.14,PH,1703026979
336,kundiawa,-6.0167,144.9667,20.5,87,100,0.57,PG,1703026979
337,revda,56.801,59.9303,-8.24,92,97,4.46,RU,1703026980
338,amga,60.8953,131.9608,-45.34,100,98,0.13,RU,1703026980
339,bredasdorp,-34.5322,20.0403,15.9,84,7,1.08,ZA,1703026980
340,mount isa,-20.7333,139.5,31.87,45,5,3.09,AU,1703026980
341,touros,-5.1989,-35.4608,26.24,84,98,3.82,BR,1703026924
342,mosfellsbaer,64.1667,-21.7,1.01,80,75,3.6,IS,1703026980
343,masterton,-40.9597,175.6575,18.82,33,5,2.97,NZ,1703026981
344,bahia blanca,-38.7196,-62.2724,15.18,60,92,6.02,AR,1703026981
345,bhinmal,25.0,72.25,15.92,28,100,3.87,IN,1703026981
346,tamandare,-8.7597,-35.1047,25.02,88,100,3.53,BR,1703026981
347,nemuro,43.3236,145.575,-3.11,67,92,3.8,JP,1703026981
348,nacala,-14.5428,40.6728,26.04,92,95,0.64,MZ,1703026981
349,sao vicente,-23.9631,-46.3919,26.26,51,95,4.02,BR,1703026981
350,atafu village,-8.5421,-172.5159,28.99,74,88,3.92,TK,1703026981
351,piti village,13.4626,144.6933,29.49,73,0,7.2,GU,1703026982
352,cassilandia,-19.1133,-51.7342,27.39,55,96,2.56,BR,1703026983
353,kruisfontein,-34.0033,24.7314,18.13,92,50,1.83,ZA,1703026983
354,korets,50.6165,27.1605,5.01,66,99,6.25,UA,1703026983
355,papao,-17.75,-149.55,27.82,76,100,4.15,PF,1703026983
356,port macquarie,-31.4333,152.9167,29.38,71,84,1.5,AU,1703026983
357,enewetak,11.3474,162.3373,27.17,75,100,10.8,MH,1703026983
358,benguela,-12.5763,13.4055,26.45,83,100,3.02,AO,1703026984
359,mar del plata,-38.0023,-57.5575,15.01,71,75,5.66,AR,1703027060
360,igarka,67.4667,86.5833,-14.79,74,100,12.59,RU,1703026984
